,action,effectiveness
1380,Leave headlands in fields unsprayed (conservation headlands),Beneficial
1381,Leave headlands in fields unsprayed (conservation headlands),Likely to be beneficial
1382,Leave hollow trees in areas of selective logging for sleeping sites,No evidence found (no assessment)
1383,Leave mining waste (tailings) in place following cessation of disposal operations,Unknown effectiveness (limited evidence)
1384,Leave overwinter stubbles,Likely to be beneficial
1385,Leave overwinter stubbles,Likely to be beneficial
1386,Leave part of the crop or pasture unharvested or uncut,Trade-off between benefit and harms
1387,Leave pipelines and infrastructure in place following decommissioning,No evidence found (no assessment)
1388,Leave refuges in fields during harvest,Likely to be beneficial
1389,Leave standing deadwood/snags in forests,Unlikely to be beneficial
1390,Leave standing deadwood/snags in forests,Unknown effectiveness (limited evidence)
1391,Leave standing/deadwood snags in forests,Awaiting assessment
1392,"Leave uncropped, cultivated margins or plots, including lapwing and stone curlew plots",Likely to be beneficial
1393,Leave uncut rye grass in silage fields for birds,Likely to be beneficial
1394,Leave uncut strips of rye grass on silage fields,Likely to be beneficial
1395,Leave unharvested cereal headlands in arable fields,No evidence found (no assessment)
1396,Leave unharvested cereal headlands within arable fields,No evidence found (no assessment)
1397,Leave utility and service lines in place after decommissioning,No evidence found (no assessment)
1398,Leave woody debris in forests after logging,Awaiting assessment
1399,Leave/maintain/restore strips of undisturbed habitat between solar arrays,No evidence found (no assessment)
1400,Legal protection of forests,Unknown effectiveness (limited evidence)
1401,Legal protection of species,Unknown effectiveness (limited evidence)
1402,Legally protect areas where climate change impacts are predicted to be less severe,No evidence found (no assessment)
1403,Legally protect bat habitats,Likely to be beneficial
1404,Legally protect bat species,No evidence found (no assessment)
1405,Legally protect bats during development,Unknown effectiveness (limited evidence)
1406,Legally protect habitat around shrubland,No evidence found (no assessment)
1407,Legally protect habitat for mammals,Beneficial
1408,Legally protect habitat for marine and freshwater mammals,Likely to be beneficial
1409,Legally protect habitats,Likely to be beneficial
1410,Legally protect large native trees,Awaiting assessment
1411,Legally protect marine and freshwater mammal species,No evidence found (no assessment)
1412,Legally protect peatlands,Likely to be beneficial
1413,Legally protect plant species affected by gathering,No evidence found (no assessment)
1414,Legally protect primate habitat,Unknown effectiveness (limited evidence)
1415,Legally protect reptile species,Awaiting assessment
1416,Legally protect shrubland,No evidence found (no assessment)
1417,Legislate to oblige fishers to retain and land all catch of species managed by quotas,Awaiting assessment
1418,License fish buyers,Awaiting assessment
1419,Limit heavy vehicle use,No evidence found (no assessment)
1420,Limit or exclude off-road vehicle use,Awaiting assessment
1421,Limit or prohibit specific fishing methods,Awaiting assessment
1422,Limit road construction in important habitats,No evidence found (no assessment)
1423,Limit size of trawl net openings,No evidence found (no assessment)
1424,Limit the amount of stabilisation material used,No evidence found (no assessment)
1425,Limit the amount of storm wastewater overflow,No evidence found (no assessment)
1426,Limit the amount of storm wastewater overflow,No evidence found (no assessment)
1427,Limit the density of livestock on farmland near peatlands,No evidence found (no assessment)
1428,Limit the density of traps,No evidence found (no assessment)
1429,Limit the length of fishing gear in an area,No evidence found (no assessment)
1430,Limit the length of fishing gear or density of traps in an area,No evidence found (no assessment)
1431,Limit the maximum weight and/or size of bobbins on the footrope,No evidence found (no assessment)
1432,"Limit the number and/or extent of, or prohibit additional, renewable energy installations in an area",No evidence found (no assessment)
1433,Limit the number of fishing days,No evidence found (no assessment)
1434,Limit the number of fishing vessels,No evidence found (no assessment)
1435,Limit the number of fishing vessels or fishing days in an area,No evidence found (no assessment)
1436,Limit the number of fishing vessels or fishing days in an area,No evidence found (no assessment)
1437,Limit the number of traps per fishing vessels,No evidence found (no assessment)
1438,Limit the thickness of drill cuttings,No evidence found (no assessment)
1439,Limit time that researchers/tourists are allowed to spend with habituated animals,Unknown effectiveness (limited evidence)
1440,Limit vessel numbers,No evidence found (no assessment)
1441,Limit vessel speeds,Awaiting assessment
1442,Limit vessel traffic in shallow rivers,No evidence found (no assessment)
1443,"Limit, cease or prohibit access for recreational purposes",No evidence found (no assessment)
1444,"Limit, cease or prohibit anchoring from ships/boats/vessels",No evidence found (no assessment)
1445,"Limit, cease or prohibit ballast water exchange in specific areas",No evidence found (no assessment)
1446,"Limit, cease or prohibit ballast water exchange in specific areas",No evidence found (no assessment)
1447,"Limit, cease or prohibit discharge of solid waste overboard from vessels",No evidence found (no assessment)
1448,"Limit, cease or prohibit discharge of solid waste overboard from vessels",No evidence found (no assessment)
1449,"Limit, cease or prohibit discharge of waste effluents overboard from vessels",No evidence found (no assessment)
1450,"Limit, cease or prohibit dumping of garbage and other solid waste",No evidence found (no assessment)
1451,"Limit, cease or prohibit dumping of sewage sludge",No evidence found (no assessment)
1452,"Limit, cease or prohibit dumping of untreated sewage",No evidence found (no assessment)
1453,"Limit, cease or prohibit feeding of marine and freshwater mammals by tourists",Likely to be beneficial
1454,"Limit, cease or prohibit industrial and urban lighting at night",No evidence found (no assessment)
1455,"Limit, cease or prohibit recreational boating",No evidence found (no assessment)
1456,"Limit, cease or prohibit recreational diving",No evidence found (no assessment)
1457,"Limit, cease or prohibit recreational fishing and/or harvesting",No evidence found (no assessment)
1458,"Limit, cease or prohibit the degradation and/or removal of carbon sequestering species and/or habitats",No evidence found (no assessment)
1459,"Limit, cease or prohibit the discharge of cooling effluents from power stations",No evidence found (no assessment)
1460,"Limit, cease or prohibit the discharge of cooling effluents from power stations",No evidence found (no assessment)
1461,"Limit, cease or prohibit the discharge of waste effluents overboard from vessels",No evidence found (no assessment)
1462,"Limit, cease or prohibit the dumping of sewage sludge",Likely to be beneficial
1463,"Limit, cease or prohibit the dumping of untreated sewage",No evidence found (no assessment)
1464,"Limit, cease or prohibit the sale and/or transportation of commercial non-native species",No evidence found (no assessment)
1465,"Limit, cease or prohibit the use of sonars",No evidence found (no assessment)
1466,"Limit, cease or prohibit the use of sonars",No evidence found (no assessment)
1467,"Limit, cease or prohibit the use of underwater explosives",No evidence found (no assessment)
1468,"Limit, cease, or prohibit sediment discard during aggregate extraction",No evidence found (no assessment)
1469,"Lobby, campaign or demonstrate to protect peatlands",Unknown effectiveness (limited evidence)
1470,Lobby/campaign/demonstrate to protect marshes or swamps,Unknown effectiveness (limited evidence)
